feed,data_source,kelly_fraction,gamma_target,tail_hedge_trigger,stress_guard_multiple,total_pnl,var_capture,max_drawdown,avg_daily_theta,dd_limit,survived,tuning_survived,profitable,final_bankroll
bates,synthetic,0.05,0.005,0.2,2.0,53.731746099469945,-1.0873825512524558,166.8590703547652,1.7075781803157455,860.6194028791357,True,True,True,100053.73174609947
bates,synthetic,0.05,0.005,0.2,2.5,53.731746099469945,-1.0873825512524558,166.8590703547652,1.7075781803157455,860.6194028791357,True,True,True,100053.73174609947
bates,synthetic,0.05,0.005,0.3,2.0,53.731746099469945,-1.0873825512524558,166.8590703547652,1.7075781803157455,860.6194028791357,True,True,True,100053.73174609947
bates,synthetic,0.05,0.005,0.3,2.5,53.731746099469945,-1.0873825512524558,166.8590703547652,1.7075781803157455,860.6194028791357,True,True,True,100053.73174609947
bates,synthetic,0.05,0.01,0.2,2.0,53.72901806787371,-1.0873825512524558,166.8606593034874,1.7075781803157455,860.6194028791357,True,True,True,100053.72901806787
bates,synthetic,0.05,0.01,0.2,2.5,53.72901806787371,-1.0873825512524558,166.8606593034874,1.7075781803157455,860.6194028791357,True,True,True,100053.72901806787
bates,synthetic,0.05,0.01,0.3,2.0,53.72901806787371,-1.0873825512524558,166.8606593034874,1.7075781803157455,860.6194028791357,True,True,True,100053.72901806787
bates,synthetic,0.05,0.01,0.3,2.5,53.72901806787371,-1.0873825512524558,166.8606593034874,1.7075781803157455,860.6194028791357,True,True,True,100053.72901806787
gbm,synthetic,0.05,0.005,0.2,2.0,-187.89274237621774,-0.04060824135851179,251.05599087059062,0.9758772761513855,491.8421471802983,False,True,False,99812.10725762378
gbm,synthetic,0.05,0.005,0.2,2.5,-187.89274237621774,-0.04060824135851179,251.05599087059062,0.9758772761513855,491.8421471802983,False,True,False,99812.10725762378
gbm,synthetic,0.05,0.005,0.3,2.0,-187.89274237621774,-0.04060824135851179,251.05599087059062,0.9758772761513855,491.8421471802983,False,True,False,99812.10725762378
gbm,synthetic,0.05,0.005,0.3,2.5,-187.89274237621774,-0.04060824135851179,251.05599087059062,0.9758772761513855,491.8421471802983,False,True,False,99812.10725762378
gbm,synthetic,0.05,0.01,0.2,2.0,-187.892742415242,-0.04060824135851179,251.05599090961488,0.9758772761513855,491.8421471802983,False,True,False,99812.10725758476
gbm,synthetic,0.05,0.01,0.2,2.5,-187.892742415242,-0.04060824135851179,251.05599090961488,0.9758772761513855,491.8421471802983,False,True,False,99812.10725758476
gbm,synthetic,0.05,0.01,0.3,2.0,-187.892742415242,-0.04060824135851179,251.05599090961488,0.9758772761513855,491.8421471802983,False,True,False,99812.10725758476
gbm,synthetic,0.05,0.01,0.3,2.5,-187.892742415242,-0.04060824135851179,251.05599090961488,0.9758772761513855,491.8421471802983,False,True,False,99812.10725758476
real_aapl,plotly_finance_charts_apple,0.05,0.005,0.2,2.0,-57.92019658944686,-1.3801136581403879,109.73636326550488,1.1932997634076414,601.4230807574513,False,True,False,99942.07980341055
real_aapl,plotly_finance_charts_apple,0.05,0.005,0.2,2.5,-57.92019658944686,-1.3801136581403879,109.73636326550488,1.1932997634076414,601.4230807574513,False,True,False,99942.07980341055
real_aapl,plotly_finance_charts_apple,0.05,0.005,0.3,2.0,-57.92019658944686,-1.3801136581403879,109.73636326550488,1.1932997634076414,601.4230807574513,False,True,False,99942.07980341055
real_aapl,plotly_finance_charts_apple,0.05,0.005,0.3,2.5,-57.92019658944686,-1.3801136581403879,109.73636326550488,1.1932997634076414,601.4230807574513,False,True,False,99942.07980341055
real_aapl,plotly_finance_charts_apple,0.05,0.01,0.2,2.0,-57.92139991154967,-1.3801136581403879,109.73756658760769,1.1932997634076414,601.4230807574513,False,True,False,99942.07860008845
real_aapl,plotly_finance_charts_apple,0.05,0.01,0.2,2.5,-57.92139991154967,-1.3801136581403879,109.73756658760769,1.1932997634076414,601.4230807574513,False,True,False,99942.07860008845
real_aapl,plotly_finance_charts_apple,0.05,0.01,0.3,2.0,-57.92139991154967,-1.3801136581403879,109.73756658760769,1.1932997634076414,601.4230807574513,False,True,False,99942.07860008845
real_aapl,plotly_finance_charts_apple,0.05,0.01,0.3,2.5,-57.92139991154967,-1.3801136581403879,109.73756658760769,1.1932997634076414,601.4230807574513,False,True,False,99942.07860008845
rough,synthetic,0.05,0.005,0.2,2.0,41.45449729197399,-0.6135327324786597,54.511787837557506,0.6844982929512199,344.98713964741484,True,True,True,100041.45449729197
rough,synthetic,0.05,0.005,0.2,2.5,41.45449729197399,-0.6135327324786597,54.511787837557506,0.6844982929512199,344.98713964741484,True,True,True,100041.45449729197
rough,synthetic,0.05,0.005,0.3,2.0,41.45449729197399,-0.6135327324786597,54.511787837557506,0.6844982929512199,344.98713964741484,True,True,True,100041.45449729197
rough,synthetic,0.05,0.005,0.3,2.5,41.45449729197399,-0.6135327324786597,54.511787837557506,0.6844982929512199,344.98713964741484,True,True,True,100041.45449729197
rough,synthetic,0.05,0.01,0.2,2.0,41.45449729197399,-0.6135327324786597,54.511787837557506,0.6844982929512199,344.98713964741484,True,True,True,100041.45449729197
rough,synthetic,0.05,0.01,0.2,2.5,41.45449729197399,-0.6135327324786597,54.511787837557506,0.6844982929512199,344.98713964741484,True,True,True,100041.45449729197
rough,synthetic,0.05,0.01,0.3,2.0,41.45449729197399,-0.6135327324786597,54.511787837557506,0.6844982929512199,344.98713964741484,True,True,True,100041.45449729197
rough,synthetic,0.05,0.01,0.3,2.5,41.45449729197399,-0.6135327324786597,54.511787837557506,0.6844982929512199,344.98713964741484,True,True,True,100041.45449729197
